"drag-rfile"
"Iteration" "drag"
("Iteration" "drag")
1 0.03453793690548123
2 0.0499973070747014
3 0.0588482740121859
4 0.06508181056403828
5 0.06981516916887995
6 0.07353889346790109
7 0.07644460621487312
8 0.07867568205548062
9 0.08037986267083036
10 0.0816718685524785
11 0.08266219387668799
12 0.08342471290973684
13 0.08401580991278663
14 0.08447376085927109
15 0.08481562342598811
16 0.08505666451369445
17 0.08521192792628279
18 0.08529556810070719
19 0.08532264311858553
20 0.0853021299372143
21 0.08524288914318717
22 0.08515103764020134
23 0.08503753873182189
24 0.08490768398366244
25 0.08476974712481171
26 0.08463195696919555
27 0.08450031543061391
28 0.08437884297430177
29 0.08427114012651885
30 0.08417854267975268
31 0.08410129384258565
32 0.08404036551921062
33 0.08399566028909031
34 0.08396207172030899
35 0.08394733863750035
36 0.08394740457260931
37 0.0839566447756756
38 0.0839752991959192
39 0.08400230637394725
40 0.08403543201413327
41 0.08407311729706149
42 0.08411444310650001
43 0.08415858756147246
44 0.08420413046088006
45 0.08424962587967254
46 0.08429413920093398
47 0.0843373726084924
48 0.08437947933982801
49 0.08442031666575572
50 0.08445964968984286
51 0.08449732464964294
52 0.08453308904418783
53 0.08456673784249943
54 0.08459830128156871
55 0.08462800548009955
56 0.08465582524084515
57 0.08468186199947386
58 0.08470631620626408
59 0.08472910894876501
60 0.08475041427616967
61 0.08477038262447177
62 0.0847891258858452
63 0.08480651603682911
64 0.08482272219909764
65 0.08483792813174769
66 0.08485221193729514
67 0.08486544322331911
68 0.08487777793643568
69 0.08488930778654991
70 0.08490019899906225
71 0.08491046509139254
72 0.08492002116019133
73 0.08492895273855355
74 0.08493735088913112
75 0.08494526978594136
76 0.08495273298048284
77 0.08495978342433134
78 0.0849662661047389
79 0.08497224961424221
80 0.08497804079116585
81 0.08498363111780791
82 0.08498891748541358
83 0.08499383016942014
84 0.08499838735353039
85 0.08500262738515599
86 0.08500657698853958
87 0.08501035358583611
88 0.08501400044715104
89 0.0850173758651596
90 0.08502058114932015
91 0.08502343612500951
92 0.08502607474861577
93 0.08502854854803996
94 0.08503082629702002
95 0.08503299240125924
96 0.08503505460627678
97 0.08503702976964267
98 0.08503872373791846
99 0.08504020609830043
100 0.08504160779686354
101 0.08504297568682249
102 0.08504428974965109
103 0.08504555116793616
104 0.08504673000014704
