"lift-rfile"
"Iteration" "lift"
("Iteration" "lift")
1 0.06703164276367578
2 0.1100780858175091
3 0.1376369992547209
4 0.1568097702981515
5 0.1710898725740156
6 0.1820522208926037
7 0.1904463059312422
8 0.1967905534207714
9 0.2015863873016496
10 0.2051896038142725
11 0.2079366220665369
12 0.2100455145806457
13 0.2116835542539396
14 0.21295989962982
15 0.2139255591107186
16 0.2146210213615156
17 0.2150866289257357
18 0.2153589207435998
19 0.2154777267583622
20 0.2154657983915632
21 0.2153469659456758
22 0.2151376328567792
23 0.2148661870686217
24 0.2145463575934825
25 0.2142003714872142
26 0.2138506386433314
27 0.2135143299618357
28 0.2132025912205462
29 0.2129258372036654
30 0.2126879869903285
31 0.2124904447003791
32 0.2123359849304405
33 0.2122248752156299
34 0.2121437503762049
35 0.2121106679951982
36 0.2121168107887786
37 0.2121497761997485
38 0.2122082175707821
39 0.2122891747360705
40 0.2123862535717332
41 0.2124954789506927
42 0.2126142136767828
43 0.212740233603988
44 0.2128696167224728
45 0.2129986556466001
46 0.2131247860278297
47 0.2132472710652892
48 0.2133663820485331
49 0.2134817907774826
50 0.2135928164103422
51 0.2136991719910122
52 0.2138000678887572
53 0.2138950992738028
54 0.2139842595354719
55 0.2140682249184887
56 0.2141468475102255
57 0.2142205100259051
58 0.2142896624060911
59 0.2143541627720833
60 0.2144144473412983
61 0.214470995853744
62 0.2145240253028975
63 0.214573297063334
64 0.2146192131470347
65 0.2146623189222983
66 0.2147027602172566
67 0.2147402673759587
68 0.2147752273606255
69 0.2148079299621104
70 0.2148387674117316
71 0.2148678392575168
72 0.2148948967252403
73 0.2149202283781625
74 0.2149440170198682
75 0.2149664495183563
76 0.2149875723434685
77 0.2150075384432518
78 0.2150259063849534
79 0.2150429125430105
80 0.2150593087224261
81 0.2150751075854618
82 0.2150900030698558
83 0.2151038785089455
84 0.2151167655229577
85 0.2151288035787405
86 0.2151400051037427
87 0.2151507169670827
88 0.215161012941792
89 0.215170563350299
90 0.2151796138438599
91 0.2151877275975178
92 0.2151952287284028
93 0.2152022727667842
94 0.2152087323998661
95 0.2152148812499835
96 0.2152207053076778
97 0.2152262932690763
98 0.2152310991803026
99 0.2152353686422814
100 0.2152393696585141
101 0.2152432591790395
102 0.2152469546274
103 0.2152505152457314
104 0.2152538299959025
